Rank,Attraction
1,Currier Museum of Art
2,Palace Theatre
3,Lake Massabesic
4,Livingston Park
5,SNHU Arena
6,Northeast Delta Dental Stadium
7,Zimmerman House
8,SEE Science Center
9,Millyard Museum
10,The Mall of New Hampshire
11,Saint Joseph Cathedral
12,Candia Road Brewing Company
13,Stark Brewing Company & Distillery
14,Scouting Museum and Library
15,To Share Brewing Company
16,Pine Island Park
17,Art 3 Gallery
18,N H Liquor Store
19,Veterans Memorial Park
20,East Colony Fine Art Gallery
21,America's Credit Union Museum
22,Aigean Ales
23,Third Colony Brewery and Winery
24,Manchester Poker Room & Casino
25,Granite State Escape
26,LOK'd! Room Escape - East Side
27,Manchester Firing Line Range
28,Chunky's Cinema Pub
29,Central Ale House
30,Sky Zone
