Rank,Attraction
1,Pyynikki Park and Observation Tower
2,Vapriikin Museokeskus
3,Tampereen Tuomiokirkko
4,Hatanpää Arboretum
5,Moomin Museum
6,Nasinneula Tower
7,Sarkanniemi Theme Park
8,Lenin Museum
9,Amuri Museum of Workers' Housing
10,Viikinsaari Island
11,Finlayson Area
12,Rauhaniemi Beach
13,Tampere Art Museum
14,The Finnish Labour Museum Werstas
15,Tampere Hall
16,"Tampere City Library, Metso"
17,Spy Museum
18,Church of St. Alexander Nevsky and St. Nicholas
19,Sara Hildén Art Museum
20,Duck Park (Sorsapuisto)
21,Aleksanterin Kirkko
22,Milavida Museo
23,Finlayson Church
24,Tampere Mineral Museum
25,Kalevan Church
26,National Police Museum
27,"The Tampere Theatre, Tampereen Teatteri"
28,Riihiniemen Uimaranta
29,Tallipiha
30,Vanha Kirkko
