Rank,Attraction
1,Schönbrunn  Palace
2,Salzburger Altstadt
3,Fortress Hohensalzburg Castle
4,Innsbrucker Nordkettenbahnen
5,Kunsthistorisches Museum Vienna
6,Historic Center of Vienna
7,Schlossberg
8,Pöstlingbergbahn
9,"Hallstatt Skywalk ""Welterbeblick"""
10,Designer Outlet Parndorf
11,Untersberg
12,Lake Worthersee
13,Grossglockner
14,Schmittenhöhe
15,Villach Alpine Road
16,Tiergarten Schoenbrunn - Zoo Vienna
17,Gipfelwelt 3000
18,Altstadt von Graz
19,Old Town
20,Bregenz Festival
21,Mayrhofen
22,Schwarzsee
23,Ars Electronica Center
24,Lake Attersee
25,Mariendom
26,Naturpark Dobratsch
27,Zell Am See
28,Kitzsteinhorn
29,Albertina
30,The Hofburg
