Rank,Attraction
1,The Houston Museum of Natural Science
2,Minute Maid Park
3,"Museum of Fine Arts, Houston"
4,Children's Museum of Houston
5,Houston Zoo
6,Space Center Houston
7,The Galleria
8,Cockrell Butterfly Center
9,Toyota Center
10,Rodeo Houston or Houston Livestock Show and Rodeo
11,Water Wall
12,NRG Stadium
13,Discovery Green
14,National Museum of Funeral History
15,Bayou Bend Collection and Gardens
16,The Menil Collection
17,The Music Box Theater
18,Buffalo Bayou Park
19,Houston Museum District
20,Saint Arnold Brewing Company
21,Lone Star Flight Museum
22,Rice University Campus
23,Houston Arboretum & Nature Center
24,Houston Graffiti Building
25,Smither Park
26,Memorial City Mall
27,Holocaust Museum Houston
28,Glenwood Cemetery
29,Karbach Brewing
30,Downtown Aquarium
