Rank,Attraction
1,The National 9/11 Memorial & Museum
2,The Metropolitan Museum of Art
3,Central Park
4,Empire State Building
5,Top of the Rock
6,Statue of Liberty
7,Brooklyn Bridge
8,Manhattan Skyline
9,The High Line
10,One World Observatory
11,Grand Central Terminal
12,The Met Cloisters
13,Rockefeller Center
14,Radio City Music Hall
15,Bryant Park
16,Staten Island Ferry
17,New York Public Library
18,"Intrepid Sea, Air & Space Museum"
19,The Oculus
20,Ellis Island
21,St. Patrick's Cathedral
22,Madison Square Garden
23,Broadway
24,Times Square
25,American Museum of Natural History
26,Greenwich Village
27,Chelsea Market
28,Gulliver's Gate
29,The Museum of Modern Art (MoMA)
30,The Roosevelt Island Tramway
