Rank,Attraction
1,Riverbanks Zoo and Botanical Garden
2,Columbia Canal and Riverfront Park
3,South Carolina State Museum
4,South Carolina State House
5,Soda City
6,Saluda Shoals Park
7,Columbia Museum of Art
8,University of South Carolina
9,South Carolina Confederate Relic Room and Military Museum
10,Fort Jackson
11,Williams-Brice Stadium
12,EdVenture Children's Museum
13,Sesquicentennial State Park
14,Segra Park
15,Tunnel Vision Mural
16,Colonial Life Arena
17,South Carolina Military Museum
18,Township Auditorium
19,River Rat Brewery
20,Worlds Largest Fire Hydrant
21,Robert Mills House & Gardens
22,Koger Center for the Arts
23,Fort Jackson Museum (not open to All public)
24,Five Points
25,African American History Monument
26,Founders Park
27,Harbison State Forest
28,Fort Jackson National Cemetery
29,Finlay Park
30,Sea Lion Landing
