Rank,Attraction
1,Curonian Spit / Kursiu Nerija National Park
2,Lithuanian Sea Museum
3,Sculpture The Black Ghost
4,Sculpture Golden Mouse
5,Meridianas
6,Klaipeda Old City
7,Akropolis
8,Smiltyne Beach
9,Švyturys Brewery
10,Ännchen von Tharau Denkmal
11,Pilies muziejus
12,Klaipedos Central Post Office
13,Museum of Clocks in Klaipeda
14,Sculpture Cat Klaipedis
15,The Little Mermaid Sculpture
16,Martynas Mažvydas Sculpture Park
