Rank,Attraction
1,Eastern State Penitentiary
2,Philadelphia Museum of Art
3,Barnes
4,Reading Terminal Market
5,Independence Hall
6,Museum of the American Revolution
7,One Liberty Observation Deck
8,Liberty Bell Center
9,The Franklin Institute
10,Rodin Museum
11,Citizens Bank Park
12,Elfreth's Alley
13,Rocky Statue
14,National Museum of American Jewish History
15,Independence National Historical Park
16,Please Touch Museum
17,Philadelphia Zoo
18,Wanamaker Organ
19,National Constitution Center
20,Philadelphia's Magic Gardens
21,30th Street Station
22,Morris Arboretum
23,Penn Museum
24,Mutter Museum
25,Simeone Foundation Automotive Museum
26,City Hall Visitor Center
27,Betsy Ross House
28,Masonic Temple
29,Independence Visitor Center
30,Cathedral Basilica of Saints Peter and Paul
