Rank,Attraction
1,Seaside Park
2,Beardsley Zoo
3,Downtown Cabaret Theatre
4,Fayerweather Island Light
5,Discovery Museum
6,The Barnum Museum
7,Fifth State Distillery
8,Webster Bank Arena
9,St Marys by the Sea
10,Bridgeport Bluefish Baseball Club
11,Bridgeport to Port Jefferson Steamboat Company
12,St. Margaret's Shrine
13,The Klein Memorial Auditorium
14,Bridgeport Public Library
15,Housatonic Museum of Art
16,Mongers Market
17,The Bijou Theater
18,McLevy Green
19,Tongue In Chique
20,Tongue Point Light
21,The Adventure Park at The Discovery Museum
22,The Stress Factory Comedy Club
23,Tautog Tavern
24,Aspetuck Brew Lab
25,Blvd Karaoke
26,Pride Connecticut Limo
27,Golden Star Cafe
28,Azul lounge
29,Showcase Cinemas Bridgeport
30,Connecticut Luxury Limousine Service
