Rank,Attraction
1,Mount Royal Park
2,Old Montreal
3,Notre-Dame Basilica
4,Saint Joseph's Oratory of Mount Royal
5,Montreal Botanical Garden
6,Musée des beaux-arts de Montréal
7,Barbie Expo
8,Jean-Talon Market
9,"Pointe-a-Calliere, Montreal Archaeology and History Complex"
10,Old Port of Montreal
11,Atwater Market
12,Montreal Metro
13,Rue St-Paul
14,La Grande Roue de Montreal
15,Cathedral of Marie-Reine-du-Monde
16,Bell Centre
17,McGill University
18,Plateau Mont-Royal
19,Circuit Gilles Villeneuve
20,Rue Ste.-Catherine
21,Biodome de Montreal
22,St. Patrick's Basilica
23,Grevin Montreal
24,La Fontaine Park
25,Crescent Street
26,AURA Basilique
27,Chalet Du Mont Royal
28,Montreal Science Centre
29,Notre-Dame-de-Bon-Secours Chapel
30,Place Jacques-Cartier
