Rank,Attraction
1,The State Hermitage Museum
2,Church of the Savior on Spilled Blood
3,Grand Peterhof Palace
4,Catherine Palace and Park
5,Tsarskoye Selo State Museum Preserve
6,The Naval Cathedral of Saint Nicholas in Kronstadt
7,Faberge Museum
8,Alexander Park
9,Zelenogorsk Recreation Park
10,Oranienbaum State Museum Reserve
11,Dubki Park of Culture and Leisure
12,Grand Maket Russia
13,The State Museum St. Isaac’s Cathedral
14,The Hermitage Pavilion
15,Park And Gardens of Peterhof
16,Eco Path
17,State Russian Museum
18,Monastery of the Holy Trinity St. Sergius Maritime Men's Deserts
19,Peterhof  State Museum Preserve
20,The General Staff Building
21,Chinese Palace
22,The National Congress Palace (Constantine Palace)
23,Pavlovsk State Museum
24,Menshikov's Great Palace
25,Cathedral of Saints Peter and Paul
26,Oranienbaum
27,Yusupov Palace on Moika River
28,Winter Palace of Peter I
29,Kameronova Gallery Museum
30,Sestroetskiy Rubezh
