Rank,Attraction
1,Fenway Park
2,The House of the Seven Gables
3,Cape Cod National Seashore
4,Mohawk Trail
5,Freedom Trail
6,Harvard University
7,Race Point Beach
8,Museum of Fine Arts
9,Cape Poge Wildlife Refuge
10,Good Harbor Beach
11,Plimoth Patuxet
12,Fishermen's Memorial Monument
13,Whaling Museum
14,John F Kennedy Hyannis Museum
15,Commercial Street
16,Hammond Castle Museum
17,Cape Cod Rail Trail
18,Springfield Museums
19,Wingaersheek Beach
20,Massachusetts Institute of Technology (MIT)
21,Shining Sea Bikeway
22,Worcester Art Museum
23,National Monument to the Forefathers
24,The Steamship Authority
25,Harvard Museum of Natural History
26,Chatham Lighthouse Beach
27,Herring Cove Beach
28,The Jenney
29,Main Street Hyannis
30,John F. Kennedy Memorial
