Rank,Attraction
1,Big Almaty Lake
2,Bayterek Tower
3,Hazret Sultan Mosque
4,National Museum of Kazakhstan
5,The State Theatre of Opera and Ballet Astana Opera
6,Khan Shatyr
7,Kok-Tobe Hill
8,KarLag / Museum of Political Repression Victims’ Memory of the Dolinka Settlement
9,MEGA Silk Way
10,Congress-Centre EXPO
11,Park Abaya
12,Charyn Canyon
13,City Park
14,Quay Astana
15,Nur-Astana Mosque
16,Medeu Skating Rink and Ski resort
17,Shymkent Plaza
18,Mashkhur-Jusup Mosque
19,Zhastar Park
20,Assumption Russian Orthodox Cathedral
21,Independence Square and Kazak Eli Monument
22,Imangali Mosque
23,House-Museum of E.I. Pugacheva
24,Tamgaly Tas
25,Palace of Peace and Reconciliation
