Rank,Attraction
1,Mount Royal Park
2,Old Quebec
3,Old Montreal
4,Notre-Dame Basilica
5,Le Petit Train du Nord Bike Path
6,Canadian Museum of History
7,Tremblant
8,Nature Centre (Le Centre de la nature)
9,Gatineau Park
10,Lac des Nations
11,Saguenay Fjord National Park
12,Marais de la Riviere aux Cerises
13,La Vieille Prison de Trois-Rivières
14,Mont Tremblant Activity Centre
15,Sentier de la Pointe-de-l'Islet Trail
16,Parc du Domaine Vert
17,Route du Fleuve
18,Saint Joseph's Oratory of Mount Royal
19,Forillon National Park
20,Omega Park
21,Montreal Botanical Garden
22,Cosmodome
23,Camp Fortune
24,Quartier DIX30
25,Domaine Saint-Bernard
26,Chutes de la Chaudière
27,Musée des beaux-arts de Montréal
28,La Halte des Pèlerins
29,Galerie d'art Au P'tit Bonheur
30,Jacques Cartier Park
