Rank,Attraction
1,Gruene Zitadelle
2,Jahrtausendturm im Elbauenpark
3,Magdeburger Dom
4,Kanalbruecke Magdeburg
5,Stadtpark Rotehorn
6,Elbauenpark Magdeburg
7,Butterfly House Elbauenpark
8,Kloster Unser Lieben Frauen
9,Gruson Gewaechshaeuser
10,Herrenkrug Park
11,Johanniskirche Magdeburg
12,Alter Markt Magdeburg
13,Otto-von-Guericke-Museum in der Lukasklause
14,Magdeburger Reiter
15,Brunnen im Innenhof - Hundertwasserhaus
16,Kulturhistorisches Museum Magdeburg
17,MDCC-Arena Magdeburg
18,Zoologischer Garten Magdeburg
19,Gedenkstaette Moritzplatz Magdeburg fuer die Opfer Politischer Gewalt
20,GETEC-Arena
21,Kabarett Magdeburger Zwickmuehle
22,Bastion Cleve
23,Faunenbrunnen
24,Die Bunte Otto Richter Strasse
25,Boerde Park
26,Theater Magdeburg
27,Technikmuseum Magdeburg
28,Guericke Denkmal
29,"NEMO Bade-, Sauna- & Wellnesswelt"
30,Springbrunnen auf dem Ulrichplatz
