Rank,Attraction
1,Prado National Museum
2,Parque del Retiro
3,Santiago Bernabeu Stadium
4,Royal Palace of Madrid
5,Museo Nacional Thyssen-Bornemisza
6,Museo Nacional Centro de Arte Reina Sofía
7,Museo Sorolla
8,Gran Via
9,Plaza Mayor
10,Museo Arqueologico Nacional
11,Barrio de Salamanca
12,La Latina
13,Plaza de Cibeles
14,Mercado San Miguel
15,Parque Madrid Río
16,Palacio De Cristal
17,Parque de El Capricho
18,Malasana
19,Puerta del Sol
20,Museo Cerralbo
21,Palacio de Cibeles
22,Plaza de Toros de Las Ventas
23,Barrio de Las Letras
24,Real Basilica de San Francisco el Grande
25,Catedral de Sta Maria la Real de la Almudena
26,Templo de Debod
27,Caixa Forum
28,Wanda Metropolitano
29,Paseo del Prado
30,Naval Museum
