Rank,Attraction
1,Taliesin West
2,McCormick-Stillman Railroad Park
3,Old Town Scottsdale
4,Pinnacle Peak Park
5,Western Spirit: Scottsdale's Museum of the West
6,Butterfly Wonderland
7,McDowell Sonoran Preserve
8,Tom's Thumb Trailhead
9,OdySea Aquarium
10,Scottsdale Fashion Square
11,Southwest Wildlife Conservation Center
12,Penske Racing Museum
13,Cosanti
14,Salt River Fields
15,Brown's Ranch Trailhead
16,Lost Dog Wash Trail
17,Wonderspaces Arizona
18,Sunrise Peak Trail
19,Talking Stick Resort Casino
20,Main Street Arts District
21,Scottsdale Stadium
22,Kierland Commons
23,WestWorld of Scottsdale
24,Scottsdale Civic Center
25,Scottsdale Quarter
26,Old Adobe Mission
27,The Gateway Trailhead
28,Old Town Scottsdale Farmers Market
29,Singh Farms
30,Scottsdale Museum of Contemporary Art
