Rank,Attraction
1,Irvine Spectrum Center
2,Pretend City Children's Museum
3,The Irvine Museum
4,Tanaka Farms
5,San Joaquin Wildlife Santuary
6,Orange County Great Park
7,Giant Wheel at Irvine Spectrum Center
8,FivePoint Amphitheater
9,Adventure Playground
10,William R. Mason Regional Park
11,Bommer Canyon Trails
12,K1 Speed Irvine
13,Boomers Irvine
14,Turtle Rock Community Park
15,University of California Irvine
16,Irvine Barclay Theater
17,Mariners Church
18,Northwood Gratitude and Honor Memorial
19,Mandir
20,Irvine Farmers Market
21,University Center
22,Museum of Woman
23,Quail Hil
24,Great Park Ice & Fivepoint Arena
25,UCI Arboretum
26,Pao Fa Buddhist Temple
27,Jeffrey Open Space Trail
28,Musical Theatre Village
29,CU Arena
30,Irvine Onnuri Church
