Rank,Attraction
1,Municipal Rose Garden
2,Rosicrucian Egyptian Museum
3,Santana Row
4,Winchester Mystery House
5,Children's Discovery Museum
6,Happy Hollow Park and Zoo
7,Cathedral Basilica of St. Joseph
8,SAP Center
9,The Tech Interactive
10,Los Gatos Creek Trail
11,Sikh Gurdwara
12,San Jose Center for the Performing Arts
13,Almaden Quicksilver County Park
14,Mount Umunhum
15,Willow Glen
16,Alum Rock Park
17,Japanese Friendship Garden
18,San Pedro Square Market
19,Avaya Stadium
20,Municipal Stadium
21,Japantown (San Jose)
22,Emma Prusch Farm Park
23,J. Lohr Vineyards & Wines
24,San Jose Museum of Art
25,Plaza de Cesar Chavez Park
26,San Jose McEnry Convention Center
27,San Jose Flea Market
28,Heritage Rose Garden
29,History Park
30,Joseph D. Grant County Park
