Rank,Attraction
1,Tilgate Park
2,Southern Pursuits
3,The Hawth
4,Buchan Country Park
5,My Lounge South Terminal
6,Ifield Mill Pond and Bewbush Water Gardens
7,County Mall Shopping Centre
8,Worth Park
9,Cherry Lane Adventure Playground
10,K2 Crawley
11,Gatwick Airport Railway Station
12,Crawley Memorial Gardens
13,Crawley Museum
14,Gala Bingo Crawley
15,Waterlea Adventure Playground
16,Tulleys Escape Rooms & Games
17,Go Ape Crawley
18,Hounds Escape Game Experiences
19,Gatwick Express
20,Alexander House Utopia Spa
21,TeamSport Indoor Go Karting Crawley
22,Leeli Cycles (Turners Hill)
23,Delta Force Paintball Crawley
24,Driver Wood Paintball
25,Cineworld Cinemas
26,Goffs Park
27,Crawley Yoga
28,Britannia Cars
29,Brewery Shades
30,Sports Sim
