Rank,Attraction
1,Vilnius Old Town
2,Ninth Fort
3,Curonian Spit / Kursiu Nerija National Park
4,KGB Museum (Genocido Auku Muziejus)
5,Old Town Kaunas
6,Druskininkai Aquapark
7,Palanga Beach
8,Lithuanian Sea Museum
9,Trakai Island Castle Museum
10,Palanga Amber Museum
11,Rumsiskes Open-Air Museum
12,Vilnil. Museum of illusions
13,Kryziu Kalnas
14,Birute Park
15,Nida Dunes
16,St. Anne's Church
17,Musical Fountain
18,Sugihara House
19,Akropolis
20,Dino Parkas Radailiai
21,Church Of St Peter And St Paul
22,Grutas Park
23,Devil's Museum
24,Cathedral of St. Peter and St. Paul
25,Pazaislis Monastery
26,National M. K. Ciurlionis Art Museum
27,Hill of Three Crosses
28,Sculpture The Black Ghost
29,Antanas Cesnulis Sculpture Park
30,Lynu Lelias Cable Car
