Rank,Attraction
1,Rosamond Gifford Zoo
2,Erie Canal Museum
3,The Great New York State Fair
4,Destiny USA
5,NBT Bank Stadium
6,Webster Pond
7,Clinton Square
8,Landmark Theatre
9,Central New York Regional Market
10,New York State Fairgrounds
11,Syracuse Antiques Exchange
12,Onondaga Historical Association
13,City Market
14,Niagara Mohawk Building
15,E.M. Mills Rose Garden
16,The Oncenter
17,Everson Museum of Art
18,The Palace Theatre
19,Syracuse Stage
20,John H. Mulroy Civic Center
21,Onondaga Creekwalk
22,Middle Ages Brewing Company
23,Thornden Park
24,Oakwood Cemetery
25,Jerry Rescue Monument
26,Lakeland Winery
27,Willow Rock Brewing Company
28,Eastwood Brewing Company
29,Central New York Playhouse
30,ArtRage Gallery
