Rank,Attraction
1,Pöstlingbergbahn
2,Ars Electronica Center
3,Mariendom
4,Hauptplatz
5,Schlossmuseum Linz
6,PlusCity
7,Höhenrausch 2021
8,Linzer Tiergarten
9,Pöstlingbergkirche Wallfahrtsbasilika Sieben Schmerzen Maria
10,Botanischer Garten
11,Alter Dom
12,Lentos Kunstmuseum (Museum of Modern Art Linz)
13,Donau Park
14,Linzer Landhaus
15,Landestheater Linz (Musiktheater)
16,Hauptbahnhof Linz
17,Casino Linz
18,Ursulinenkirche
19,Voestalpine
20,Karmelitenkirche
21,Pflasterspektakel
22,Minoritenkirche
23,Pichlinger See
24,Martinskirche
25,Old Town Hall
26,FC Francisco Carolinum Linz
27,Pleschinger See
28,Biologiezentrum Linz-Dornach
29,Franz Josef Warte
30,Dreifaltigkeitssaule
