Rank,Attraction
1,Market Square
2,Ijams Nature Center
3,Tennessee Theatre
4,Zoo Knoxville
5,Knoxville Museum of Art
6,Neyland Stadium
7,Sunsphere Tower
8,East Tennesse Historical Society
9,University of Tennessee
10,World's Fair Park
11,House Mountain State Natural Area
12,James White Fort
13,Old City
14,Lakeshore Park
15,Muse Knoxville
16,Clarence Brown Theatre
17,UT Gardens
18,Schulz Brau Brewing Company
19,Knoxville Visitors Center
20,McClung Museum of Natural History and Culture
21,Knox Whiskey Works
22,Knoxville Convention Center
23,Bijou Theater
24,Women's Basketball Hall of Fame
25,Turkey Creek
26,West Town Mall
27,Blount Mansion
28,Thompson–Boling Arena
29,Cherokee Caverns
30,Krutch Park
