Rank,Attraction
1,Catedral de Pamplona
2,Plaza del Castillo
3,Monumento al Encierro
4,Parque de La Taconera
5,Town Hall
6,Fortress and Walls of Pamplona
7,Parroquia San Lorenzo
8,Plaza de Toros de Pamplona
9,Iglesia de San Saturnino
10,Portal de Francia
11,Museo de Navarra
12,Navarra Arena
13,Pamplona Tourist Office
14,Pamplonetario
15,Museo Universidad de Navarra
16,Curva de Estafeta
17,Parque Fluvial del Arga
18,Iglesia de San Nicolas
19,Calle de Zapateria
20,Paseo de Sarasate
21,Exposicion Occidens Pamplona
22,Corrales del Gas
23,Hornacina de San Fermin
24,La Morea
25,Palacio de Navarra
26,San Lorenzo Church
27,Mercado del Ensanche
28,Iglesia de Santo Domingo
29,Ayuntamiento de Pamplona - Iruñeko Udala
30,Archivo Real y General de Navarra
