Rank,Attraction
1,Keeneland
2,Kentucky Horse Park
3,Mary Todd Lincoln House
4,James E. Pepper Distillery
5,Lexington Brewing & Distilling Co.
6,Ashland: The Henry Clay Estate
7,University of Kentucky
8,Bluegrass Distillers
9,Raven Run Nature Sanctuary
10,West Sixth Brewing
11,The Arboretum
12,Rupp Arena
13,The Aviation Museum of Kentucky
14,Country Boy Brewing
15,Kentucky Scenic Byway
16,"Godolphin at Jonabell Farm, home of the Darley stallions"
17,Lexington Cemetery
18,Thoroughbred Park
19,McConnell Springs
20,Jacobson Park
21,The Thoroughbred Center
22,Whitaker Bank Ballpark
23,Lexington Visitors Center
24,The Red Mile
25,Mill Ridge Farm
26,Waveland State Historic Site
27,Fayette Mall
28,Ethereal Brewing
29,Explorium
30,Hopemont
