Rank,Attraction
1,Turku Castle
2,Luostarinmäen Käsityöläismuseo
3,Turku Cathedral
4,Turun Kauppahalli
5,Aboa Vetus & Ars Nova
6,Turku City Library
7,Forum Marinum Maritime Centre
8,Turku Art Museum
9,Pharmacy Museum and Qwensel House
10,Turku University Botanical Garden
11,Adventure Park
12,The Archipelago Trail
13,Föri
14,Archangel Michael's church
15,Flowpark Turku
16,Kupittaa Park
17,Waino Aaltonen Museum of Art
18,Kylamaki Village of Living History
19,Turku Railway Station
20,JukuPark Turku
21,St Henry's Ecumenical Art Chappel
22,Turku Biological Museum
23,Ett Hem Museum
24,Abo Svenska Teater
25,Sa-int Maanpuolustusmuseo
26,Kauppakeskus Skanssi
27,Pyhän Marttyyrikeisarinna Aleksandran Kirkko
28,Harmonia
29,Uto
30,Ruisrock
