Rank,Attraction
1,Musee Fabre
2,Place de la Comedie
3,Parc Zoologique Henri de Lunaret
4,Cathedrale St-Pierre
5,Petit Paradis de Vendargues
6,Chateau de Flaugergues
7,Planet Ocean Montpellier
8,Jardin des Plantes
9,Porte du Peyrou
10,Aquädukt Saint Clément
11,Le Pavillon Populaire
12,Bertrand Bosc
13,Le Polygone
14,Promenade du Peyrou
15,Maison de la Nature
16,Marché Du Lez
17,l'Atelier musée Fernand MICHEL Arts brut et singulier
18,Quartier Antigone
19,Office de Tourisme & des Congrès Montpellier Méditerranée Métropole
20,UrbanSoccer
21,La Serre Amazonienne
22,Les Arceaux
23,Place Jean Jaures
24,Esplanade de l'Europe
25,Carre Sainte-Anne
26,Le Corum
27,Place de la Canourgue
28,Jardin du Champ de Mars
29,"Museum and Conservatory of Anatomy,"
30,Eglise Saint-Roch
