Rank,Attraction
1,Louisville Slugger Museum & Factory
2,Kentucky Derby Museum
3,Churchill Downs
4,Angel's Envy Distillery
5,The Big Four Bridge
6,Evan Williams Bourbon Experience
7,Conrad-Caldwell House Museum (Conrad's Castle)
8,Muhammad Ali Center
9,The Bulleit Frontier Whiskey Experience at Stitzel-Weller
10,Kentucky Kingdom
11,Louisville Zoo
12,Copper & Kings American Brandy Distillery
13,Waverly Hills Sanatorium
14,Cave Hill Cemetery
15,Louisville Slugger Field
16,Old Forester Distilling
17,Kentucky Peerless Distilling Co
18,Old Louisville
19,21c Museum Hotel
20,Fourth Street Live!
21,Jim Beam Urban Stillhouse
22,The Parklands of Floyds Fork
23,Louisville Waterfront Park
24,Kentucky Fair and Exposition Center
25,The Speed Art Museum
26,Iroquois Park
27,Cherokee Park
28,Frazier History Museum
29,Kentucky Science Center
30,Louisville Palace
