Rank,Attraction
1,Monument to Soldier-Emancipator
2,"Plast, Shakhty Drama and Comedy Theater"
3,Malinki South Bird Park
4,Vasiliy Alekseyev Statue
5,Aleksandr II Statue
6,Aleksandrovkiy Park
7,Intercession Cathedral
8,Eternal Flame Memorial
9,Shakhty Museum of Local Lore
10,Memorial of Mining Glory
11,Central Market Shakhty
12,Mall Maksimum
13,The Sports Palace
14,Shakhty Institute (Branch of the South Russian State Technical University named after M.I. Platov)
15,Bust of Mikhail Pavlovich Chikha
16,Monument Nevernuvshimsya
17,Shevchenko Statue
18,Monument Glory to the Miners Valor
19,Lenin Statue
20,Holy Protection Church
21,Monument to Shakhty Chernobyl Liquidators
22,Monument to Heroes of The War 1914 - 1918
23,TSUM Shakhty Mall
24,Khachkar - Cross-Rock
25,A.V. Shlyopov Monument
26,Chapel of the Ascension
27,Monument to Lotaryov V. A.
28,Pamyatnik bortsam za Sovetskuyu vlast
29,Pamyatnyy Znak Geroyam Pervoy Mirovoy Voyny
30,Alleya Geroyev
