Rank,Attraction
1,Church of Saint Dimitrios - Patron of Thessaloniki
2,Ladadika District
3,Archaeological Museum of Thessaloniki
4,White Tower of Thessaloniki
5,Toumba Stadium
6,Ataturk Museum
7,Museum of Byzantine Culture
8,Aristotelous Square
9,Rotunda
10,Monument of Alexander The Great
11,Church of Agia Sofia
12,Vlatadon Monastery
13,OTE Tower
14,War Museum of Thessaloniki
15,Mediterranean Cosmos Shopping Mall
16,Church of Agios Nikolaos Orphanos
17,Crypt of Agios Demetrios
18,Eptapyrgio Castle
19,Kleanthis Vikelidis Stadium
20,Noesis - Science Center and Technology Museum
21,Umbrellas Zongopoulos
22,Osios David (The Latomou Monastery)
23,Heptapyrgion
24,Jewish Museum of Thessaloniki
25,Trigonion Tower
26,The Greek Agora and Roman Forum
27,Potamos Beach
28,Museum of the Macedonian Struggle
29,Bezesteni Market
30,Modiano Market
