Rank,Attraction
1,Schlossberg
2,Altstadt von Graz
3,Schloss Eggenberg
4,Uhrturm
5,Landeszeughaus
6,"Kastner & Öhler, Paradeishof"
7,Basilika Mariatrost
8,Doppelwendeltreppe
9,Hauptplatz
10,Sporgasse
11,Shopping City Seiersberg
12,Landhaushof
13,Kunsthaus Graz
14,Glockenspielhaus
15,Rathaus
16,Graz Opera
17,Burgruine Gösting
18,Spanische Hofreitschule Bundesgestüt Piber
19,Kaiser-Josef-Platz Market
20,Mausoleum of Emperor Ferdinand II
21,Cathedral (Domkirche)
22,Murradweg
23,Botanical Garden (Botanischer Garten)
24,FRida & freD - Das Grazer Kindermuseum
25,Herz Jesu Kirche
26,Universalmuseum Joanneum
27,Schlossbergrutsche - The Slide Graz
28,Wohnpark Graz Goesting
29,Hilmteich
30,Auster Sportbad
