Rank,Attraction
1,Jameson Distillery Bow St.
2,Irish Whiskey Museum
3,EPIC The Irish Emigration Museum
4,The Little Museum of Dublin
5,Kilmainham Gaol Museum
6,Teeling Whiskey Distillery
7,Glasnevin Cemetery Museum
8,Trinity College Dublin
9,Guinness Storehouse
10,National Museum of Ireland - Archaeology
11,St Stephens Green
12,The Book of Kells and the Old Library Exhibition
13,Phoenix Park
14,National Botanic Gardens
15,The Irish  Rock 'N' Roll Museum Experience
16,Dublin Zoo
17,14 Henrietta Street
18,Chester Beatty
19,Christ Church Cathedral
20,Croke Park Stadium Tour & GAA Museum
21,Saint Patrick's Cathedral
22,National Gallery of Ireland
23,The Jeanie Johnston: An Irish Famine Story
24,Pearse Lyons Distillery
25,GPO Museum
26,Temple Bar
27,Grafton Street
28,The Famine Sculptures
29,St. Michan's Church
30,Richmond Barracks
