Rank,Attraction
1,Boccadasse
2,Galata Museo del Mare
3,Passeggiata Anita Garibaldi a Nervi
4,Spianata Castelletto
5,Museo di Palazzo Reale
6,Via Giuseppe Garibaldi
7,Aquarium of Genoa
8,Cattedrale di San Lorenzo - Duomo di Genova
9,Cimitero Monumentale di Staglieno
10,Palazzi dei Rolli
11,Old Port
12,Piazza Raffaele De Ferrari
13,Castello d'Albertis
14,Basilica di Santa Maria di Castello
15,Palazzo Ducale
16,Musei di Strada Nuova - Palazzo Rosso
17,Via XX Settembre
18,Dialogo nel Buio
19,Basilica della Santissima Annunziata del Vastato
20,Villa Durazzo Pallavicini
21,Chiesa del Gesu e dei Santi Ambrogio e Andrea
22,Mercato Orientale
23,Caruggi Genoa
24,Villa del Principe
25,Galleria Nazionale di Palazzo Spinola
26,Musei  di Strada Nuova
27,Lanterna di Genova
28,Ascensore Castello d'Albertis-Montegalletto
29,Passeggiata di Corso Italia
30,Teatro Carlo Felice
