Rank,Attraction
1,The Art Institute of Chicago
2,Lake Michigan
3,Blaum Bros. Distilling Co.
4,Shawnee National Forest
5,Abraham Lincoln Presidential Library and Museum
6,Woodfield Mall
7,Grand View Drive
8,Wolff's Flea Market
9,Caterpillar Visitors Center
10,Six Flags Great America
11,Warren-Newport Public Library
12,Gurnee Mills
13,Riverwalk
14,Only Child Brewing Company
15,Leaning Tower of Niles
16,Parkway Bank Park Entertainment District
17,Ulysses S. Grant Home
18,Chicago Premium Outlets
19,Blackberry Farm
20,Une Annee Brewery
21,Anderson Japanese Gardens
22,Starved Rock State Park
23,Allstate Arena
24,Donald E. Stephens Convention Center
25,Rosemont Theatre
26,Lincoln Home National Historic Site
27,Rialto Square Theatre
28,Impact Field
29,Champaign Public Library
30,Spring Valley
