Rank,Attraction
1,ShoWare Center
2,Hydroplane and Raceboat Museum
3,Tahoma National Cemetery
4,Pacific Raceways
5,BestHour Kickboxing
6,Kent Station
7,Carpinitos Pumpkin Patch
8,Great Wall Shopping Mall
9,South 277th Corridor Trail
10,Mary Olson Farm
11,Green River Natural Resources Area
12,Soos Creek Trailhead
13,Boulevard Lane Park
14,Sidetrack Distillery
15,Kent Valley Ice Centre
16,PGP Motorsports Park
17,Reds Wine Bar
18,Makers Mercantile
19,Champion Arms
20,AMC Kent Station 14
21,Riverbend Golf Complex
22,Chestnut Ridge Park
23,Jerry's Rock & Gem
24,Kent Bowl
25,Gator's Sports Bar & Grill
26,Sidetrack Pub and Eatery
27,Casey's Bar & Grill
28,Pied Piper Pub
29,The AC
30,Hand & Stone Massage and Facial Spa
