Rank,Attraction
1,R. W. Norton Art Gallery
2,Shreveport Water Works Museum
3,Shreveport Aquarium
4,Sci-Port Discovery Center
5,Louisiana State Exhibit Museum
6,Barksdale Global Power Museum
7,Walter B Jacobs Memorial Nature Park
8,Red River Brewing Company
9,Great Raft Brewing
10,Red River District
11,Gardens of the American Rose Center
12,Splash Kingdom Waterpark
13,Duck PondI
14,Jubilee Zoo
15,Caddo Parish Confederate Monument
16,The Strand Theater
17,Shreveport Convention Center
18,On Cloud Wine
19,Texas Street Bridge
20,Shreveport Railroad Museum
21,Cathedral of St. John Berchmans
22,Holy Trinity Catholic Church
23,Betty Virginia Park
24,Mall St. Vincent
25,Spring Street Museum
26,First United Methodist Church
27,Shreveport Little Theatre
28,Artspace
29,George’s Pond at Hirsch Coliseum
30,Meadows Museum of Art
