Rank,Attraction
1,La Petite France
2,Cathedrale Notre Dame de Strasbourg
3,Centre-ville de Strasbourg
4,Parc de l'Orangerie
5,Barrage Vauban
6,Christmas Market (Christkindelsmarik)
7,Musee Alsacien
8,Horloge Astronomique
9,Palais de Rohan
10,European Parliament Strasbourg
11,Musée historique de la Ville de Strasbourg
12,Pont Couverts
13,Gare de Strasbourg
14,Musée de l'Œuvre Notre-Dame
15,Le Vaisseau
16,Place Kleber
17,Cave historique des hospices civils de Strasbourg
18,Eglise protestante Saint Pierre le Jeune
19,MM Park France
20,Parc Animalier Friedel
21,Fort Ducrot
22,Chapelle Notre-Dame-des-Sept-Douleurs
23,Place Gutenberg
24,La Neustadt
25,Stade de la Meinau
26,Musee d'Art Moderne et Contemporain
27,Soccer Park Strasbourg
28,Parc du Château de Pourtalès
29,Maison Kammerzell
30,Eglise Saint-Paul
