Rank,Attraction
1,Brasov Historical Center
2,Mount Tampa
3,Council Square
4,Parc Aventura Brasov
5,Black Church (Biserica Neagra)
6,Prima Scoala Romaneasca
7,Tampa Cable Car
8,Coresi Shopping Mall
9,Yekaterina's Gate
10,Rope Street - Strada Sforii
11,Zoo Brasov
12,Sinagoga Neologa
13,Turnul Alb
14,Sf. Nicolae Church (Saint Nicholas)
15,Catedrala Ortodoxa Adormirea Maicii Domnului
16,Paradisul Acvatic
17,Casa Sfatalui (City Hall)
18,Citadel of The Guard
19,Rope Street Museum
20,St. Peter And St. Paul's Roman Catholic Parish
21,Lake Noua
22,Feldioara Fortress
