Rank,Attraction
1,Rijksmuseum
2,Anne Frank House
3,Van Gogh Museum
4,The Jordaan
5,A'dam Lookout
6,Body Worlds
7,Vondelpark
8,Moco Museum
9,Museum Het Rembrandthuis (Rembrandt House)
10,ARTIS Amsterdam Royal Zoo
11,Centraal Station
12,Museum Ons'Lieve Heer Op Solder
13,Royal Palace Amsterdam
14,Heineken Experience
15,GVB
16,Het Scheepvaartmuseum| The National Maritime Museum
17,NEMO Science Museum
18,OBA Library of Amsterdam
19,Micropia
20,Dam Square
21,Hermitage Amsterdam
22,Begijnhof
23,Verzetsmuseum Amsterdam
24,Johan Cruyff Arena
25,Stedelijk Museum Amsterdam
26,Amsterdam Canal Ring
27,De Hallen Amsterdam
28,Portuguese Synagogue
29,Albert Cuyp Market
30,Ripley's Believe It or Not! Amsterdam
