Rank,Attraction
1,Pharmacy Museum
2,Ostrich Ranch
3,Akvapark Water Park
4,Nagorny Park
5,Monument to Victor Tsoi
6,Arboretum NII of M.A. Lisavenko
7,T-34 Monument
8,Forest Fairy Tale Amusement Park
9,Altai State Local Lore Museum
10,Time World Museum
11,Stone World Museum
12,Lenin Avenue
13,St. Nicholas Church
14,Barnaul Planetarium
15,Znamenskii Convent
16,Sport Complex Ob
17,"The State Museum of the History of Literature, Art and Culture of Altay"
18,Kak-Tak? Museum of Entertaining Sciences
19,St. John the Theologian Church
20,Altai State Regional Shukshin Drama Theater
21,Altai State Regional Theater of Musical Comedy
22,Altai State Theatre for Childrens and Youth
23,City Museum
24,Barnaul Fortress Entertaiment Complex
25,Park of the Central District
26,Altai Regional Drama Theatre
27,Altai Krai State Fine Arts Museum
28,Museum of Local Lore Department of War History
29,Chapel of St. Alexander Nevskiy
30,Adriatika
