Rank,Attraction
1,Nikka Yuko Japanese Garden
2,Henderson Lake Park
3,Indian Battle Park
4,Coulee Brew Co
5,Fort Whoop-Up
6,Galt Museum & Archives
7,New West Theatre
8,Park Lake Provincial Park
9,Pure Casino Lethbridge
10,Helen Schuler Nature Centre
11,Pavan Park
12,Nicholas Sheran Park
13,Elizabeth Hall Wetlands
14,Enmax Centre
15,Theoretically Brewing Company
16,Alexander Wilderness Park
17,Mortar & Brick Arts and Events
18,Southern Alberta Art Gallery
19,Brewery Gardens
20,Popson Park
21,Broxburn Farms
22,Exhibition Park Lethbridge
23,Bull Trail Park
24,Lethbridge Military Museum
25,The Leftbridge Viaduct
26,Immanuel Lutheran Church
27,SunRidge Park
28,The Oldman River Observatory
29,Rocky Mountain Turf Club
30,King of Kings Fellowship
