Rank,Attraction
1,Cheile Turzii - Turda Gorge
2,Central Park
3,Botanical Garden
4,Cetatuia Hill
5,King Matthias Corvin Statue
6,St. Michael's Church
7,Cluj Arena
8,Tarnita Lake
9,National Theater
10,The Transylvania  Museum of Etnografico
11,National Ethnographic Park
12,Hoia Baciu Forest
13,Museum Square
14,Iulius Mall Cluj
15,VIVO Cluj Napoca
16,Cluj-Napoca Train Station
17,Bridal Veil Falls
18,Dormition of the Theotokos Cathedral
19,Iulius Park
20,Babes Bolyai University
21,Hazsongard Cemetery
22,Reformed Church of Cluj-Napoca
23,Fantanele Lake
24,Avenue of Heroes in Cluj-Napoca
25,Museum of Art
26,Tailors' Bastion
27,Banffy Palace
28,Cluj-Napoca Tourist Information Center
29,City Walls of Cluj
30,Casino Parcul Central
