Rank,Attraction
1,Szeged Zoo
2,Dom Square
3,Szeged Synagogue
4,Napfenyfurdo Aquapolis
5,Votive Church
6,Karász utca
7,Botanical Garden of the University of Szeged
8,Széchenyi Square
9,REÖK - Regional Art Centre
10,Water Tower
11,Móra Ferenc Múzeum
12,Gate of Heroes
13,Arkad Szeged
14,Klauzal Square
15,National Pantheon
16,City Hall
17,Saint Nicholas Serbian Orthodox Church of Szeged
18,Anna Spring
19,Dugonics Square
20,Bridge of Sighs
21,Millennium Fountain
22,University of Szeged
23,Dömötör Tower
24,Black House
25,National Theater of Szeged
26,Belvárosi Híd
27,Kálvin téri Református Egyházközség
28,Grof Palace
29,Szeged Plaza
30,Rerrich Béla Square
