Rank,Attraction
1,Zoo Leipzig
2,Völkerschlachtdenkmal
3,St. Thomas Church
4,Panometer
5,Panorama Tower
6,Hauptbahnhof Leipzig
7,Museum in der Runden Ecke
8,Market Square (Markt)
9,St. Nicholas Church (Nikolaikirche)
10,Bach Museum
11,Zeitgeschichtliches Forum Leipzig
12,Karl-Heine-Kanal
13,Madle- Passage
14,Mendelssohn-Haus Leipzig
15,Grassimuseum
16,Kunstkraftwerk Leipzig - DIGITAL ART CENTER
17,Museum der Bildenden Kunste
18,Clara-Zetkin Park
19,New Town Hall (Neues Rathaus)
20,Botanischer Garten
21,Fsociety Virtual Reality
22,Sudfriedhof
23,BELANTIS
24,Red Bull Arena
25,Holocaust Memorial
26,Universitätskirche
27,Opernhaus
28,Spinnerei
29,Statue of Mephisto and Faust
30,Barfussgasschen
