Rank,Attraction
1,Kramerbrucke Erfurt
2,Erfurt Cathedral
3,Domplatz
4,Historische Altstadt
5,Egapark Erfurt
6,Gedenk- Und Bildungsstätte Andreasstrasse
7,Fischmarkt
8,Old Synagogue
9,Erfurter Domberg
10,Petersberg Citadel
11,Naturkundemuseum
12,Angermuseum
13,Erinnerungsort Topf & Söhne
14,Zoopark Erfurt
15,Evangelisches Augustinerkloster
16,Stadtmuseum Erfurt
17,Predigerkirche
18,St. Severi Kirche
19,Wenigemarkt
20,"Skultur ""Bernd das Brot"""
21,Historisches Rathaus
22,Haus zum breiten Herd
23,Lange Brücke
24,Erfurter Puppenstubenmuseum
25,Allerheiligenkirche
26,Agidienkirche
27,Ega Cyriaksburg Erfurt (Erfurter Garten)
28,Angerbrunnen
29,Veste Heldburg
30,ANGER 1 Erfurt
