Rank,Attraction
1,Karlsruhe Palace
2,Turmberg
3,Zoo Karlsruhe
4,ZKM | Zentrum fuer Kunst und Medien
5,Naturkundemuseum Karlsruhe
6,Staatliche Kunsthalle Karlsruhe
7,Karlsruhe Botanical Gardens
8,State Museum of Baden
9,Schlossgarten
10,Schloss Gottesaue
11,Waldseilpark Karlsruhe
12,Bundesverfassungsgericht
13,Guenther-Klotz-Anlage
14,Alter Schlachthof
15,Badisches Staatstheater Karlsruhe
16,Pfarrkirche St. Stephan
17,Karlsruhe Pyramid
18,Christuskirche Karlsruhe
19,Museum beim Markt
20,Europaplatz
21,Evangelische Stadtkirche
22,Kammertheater
23,Badisches Schulmuseum Karlsruhe
24,Botanischer Garten des KIT
25,Bundesgerichtshof
26,Grossherzog Karl-Friedrich Denkmal
27,Altrhein Maxau
28,St. Bernhard Church
29,Platz der Grundrechte
30,Marotte Figurentheater
