Rank,Attraction
1,Odora Park of Culture and Recreation
2,National Park Alkhanai
3,Decembrists' Church Museum
4,Ostrich Farm Straus Zabaikalya
5,Chita Regional Kuznetsov Museum of Local Lore
6,Memorial Battle and Labor Glory
7,Chita Buddhist Temple
8,Church of the Kazan Icon of the Mother of God
9,Lenin Square
10,Arey Lake
11,Titovskaya Hill
12,Chess Park
13,Monument to Alexander Nevsky
14,Stadium SibVO
15,Chita City Zoo
16,Maksi  Mall
17,Sculpture Love and Faith
18,Urochishhe Kadalinskiye Dvortsy
19,Monument to the Soldiers of the Tank Column Komsomolets Zabaikalya
20,Chita Oblast Drama Theater
21,Memory Park
22,Sculpture Deer
23,Chita Regional Art Museum
24,Zabaykalsk Regional State Library of Science of Pushkin
25,Kenon Lake
26,Cathedral Mosque
27,Statue of Pyotr Beketov
28,Sport Complex Vysokogorye
29,Zabaikalskiy Regional Drama Theater
30,Geological-Mineralogical Museum of Chita State University
