Rank,Attraction
1,Nuuksio National Park
2,EMMA - Espoo Museum of Modern Art
3,Exhibition Centre WeeGee
4,Haltia
5,Kaitalampi Lake
6,Gallen-Kallela Museum
7,Sello
8,Espoon vanha kirkko
9,Serena Water Park
10,Talomuseo Glims
11,Leppävaara Swimming Pool
12,Tapiola Garden City
13,Iso Omena
14,Oittaa Recreation Centre
15,Laajalahti Nature Reserve
16,Finnish Toy Museum Hevosenkenka
17,Espoo Car Museum
18,Stora Herro Island
19,Archipelago Museum Pentala
20,The Church of St. Herman of Alaska
21,Espoon Kaupunginmuseo
22,Myllyjarvi
23,HopLop Espoo Suomenoja
24,The Finnish Museum of Horology
25,Solvallan Urheiluopisto
26,Espoonlahden uimahalli
27,Children's Theatre Hevosenkenka
28,Polytechnical Students' Museum
29,Tvijalp & Korkeasaari Islands
30,NorsöLine
