Rank,Attraction
1,Monasterio de Piedra
2,Basilica de Nuestra Senora del Pilar
3,Palacio de la Aljaferia
4,El Tubo
5,La Seo del Salvador
6,Plaza del Pilar
7,Torre Del Pilar
8,Acuario de Zaragoza
9,Emoz
10,Belchite
11,Museo Pablo Gargallo
12,Parque Grande Jose Antonio Labordeta
13,Museo del Fuego y de los Bomberos
14,Daroca
15,Patio de la Infanta
16,Puente de Piedra
17,Museo de los Faroles y Rosario de Cristal
18,Museo Goya Coleccion Ibercaja
19,El Ebro
20,Calle Alfonso I
21,La Lonja
22,Museo del Teatro Romano de Caesaraugusta
23,Caixaforum Zaragoza
24,Museo del Foro de Caesaraugusta
25,Alma Mater Museum
26,Museo de Zaragoza
27,Museo De Tapices Y Capitular De La Seo
28,Fuente de la Hispanidad
29,Iglesia Parroquial de San Pablo Apóstol
30,Antigua Facultad de Medicina
