Rank,Attraction
1,The Getty Center
2,Griffith Observatory
3,Universal Studios Hollywood
4,Petersen Automotive Museum
5,The Wizarding World of Harry Potter
6,Battleship USS Iowa Museum
7,The Broad
8,Staples Center
9,Griffith Park
10,The Grove
11,La Brea Tar Pits and Museum
12,Walt Disney Concert Hall
13,Natural History Museum of Los Angeles County
14,Runyon Canyon Park
15,Venice Canals Walkway
16,The Nethercutt Collection
17,Dodger Stadium
18,Union Station
19,Hollywood Sign
20,Bradbury Building
21,Lake Hollywood Park
22,Universal CityWalk Hollywood
23,Los Angeles County Museum of Art
24,Madame Tussauds Hollywood
25,Abbot Kinney Boulevard
26,Angels Flight Railway
27,"University of California, Los Angeles (UCLA)"
28,Hollywood Forever Cemetery
29,Citadel Outlets
30,Pantages Theatre
