Rank,Attraction
1,The Art Institute of Chicago
2,Museum of Science and Industry
3,360 Chicago Observation Deck
4,Cloud Gate
5,Millennium Park
6,Field Museum
7,Wrigley Field
8,The Magnificent Mile
9,Chicago Riverwalk
10,Lincoln Park Zoo
11,Chicago Cultural Center
12,Richard H. Driehaus Museum
13,Garfield Park Conservatory
14,Shedd Aquarium
15,Lakefront Trail
16,The Loop
17,Buckingham Fountain
18,Skydeck Chicago - Willis Tower
19,Lincoln Park
20,Chicago Skyline
21,United Center
22,The Chicago Theatre
23,Chicago History Museum
24,Lincoln Park Conservatory
25,Goose Island Beer Co.
26,American Writers Museum
27,Maggie Daley Park
28,Navy Pier
29,Frank Lloyd Wright's Robie House
30,The Rookery Building
