Rank,Attraction
1,The Botanical Gardens
2,Sheffield Winter Garden
3,Graves Park
4,"Tropical Butterfly House, Wildlife & Falconry Centre"
5,Rivelin Valley Nature Trail
6,Holly Hagg Community farm
7,Crucible Theatre
8,Endcliffe Park
9,Kelham Island Museum
10,Meadowhall Shopping Centre
11,National Emergency Services Museum
12,Owlerton Greyhound Stadium
13,Lyceum Theatre
14,Sheffield Weston Park Museum
15,Sheffield City Hall
16,Ecclesall Woods
17,The Peace Gardens
18,Will4Adventure
19,Weston Park
20,Millhouses Park
21,Our Cow Molly Dairy Farm & Ice Cream Shop
22,Mayfield Alpacas
23,FlyDSA Arena (Sheffield Arena)
24,Millennium Gallery
25,Bramall Lane Stadium
26,Heeley City Farm
27,Forge Dam Park
28,Sheffield Manor Lodge
29,Cathedral Church of St. Peter and St. Paul
30,Sheffield University
