Rank,Attraction
1,Szechenyi Ter
2,Pecs Cathedral
3,Zsolnay Cultural Quarter
4,Zsolnay Museum
5,Kiraly Utca
6,Early Christian Mausoleum
7,TV Tower (TV Torony)
8,Pecs Zoo & Aquarium - Terrarium
9,Mosque of Pasha Gazi Kassim Church of Gyertyaszentelo Boldogasszony
10,Victor Vasarely Museum
11,Arkad Shopping Centre
12,Pecs Synagogue
13,Tettye
14,Zsolnay Fountain
15,Bishop's Palace (Püspöki palota)
16,National Theatre of Pécs
17,Tivadar Csontvary Museum
18,Sopianae cemetery at Pecs
19,Jakovali Hassan Mosque and Museum
20,Statue of Zsolnay Vilmos
21,Statue of Hunyadi János
22,Zsolnay Mauzoleum
23,Holy Tinity Statue
24,Franciscan Church
25,Angster Memorial
26,Kodaly Kozpont
27,City History Museum
28,Saint Sebastian's Church
29,Lab Game Tech Station
30,Statue of Szepessy Ignácz
