Rank,Attraction
1,Pantheon
2,Colosseum
3,Roman Forum
4,Palatine Hill
5,Piazza Navona
6,Basilica di Santa Maria Maggiore
7,Trevi Fountain
8,Galleria Borghese
9,Trastevere
10,Museo Nazionale di Castel Sant'Angelo
11,Domus Aurea
12,Musei Capitolini
13,Villa Borghese
14,Palazzo Doria Pamphilj
15,Centro Storico
16,Basilica of San Clemente
17,Museo Nazionale Romano - Palazzo Massimo alle Terme
18,Arcibasilica di San Giovanni in Laterano
19,Piazza Venezia
20,Palazzo Colonna - Galleria Colonna
21,Monumento a Vittorio Emanuele II
22,Terme di Caracalla
23,Piazza del Popolo
24,San Pietro in Vincoli
25,Santa Maria della Vittoria
26,Church of St. Louis of the French
27,Le Domus Romane di Palazzo Valentini
28,Chiesa di Sant'Ignazio di Loyola
29,Torre Argentina Cat Sanctuary
30,Piazza di Spagna
