Rank,Attraction
1,Brunel's SS Great Britain
2,Clifton Suspension Bridge
3,Cabot Tower
4,Smoke & Mirrors
5,We The Curious
6,M Shed
7,Bristol Ferry Boats
8,Bristol Museum & Art Gallery
9,Oakham Treasures
10,Bristol Zoo Gardens
11,Bristol City Docks
12,Wills Memorial Building
13,Bristol Cathedral
14,St Mary Redcliffe Church
15,Cabot Circus
16,Clifton Observatory and Caves
17,Old Down Country Park & Weddings
18,Arnos Vale Cemetery
19,Bristol Old Vic
20,Tobacco Factory Theatres
21,Bristol Aquarium
22,Bristol Hippodrome
23,Ashton Court Estate
24,The Matthew of Bristol
25,Harbourside
26,John Wesley's Chapel & New Room Museum
27,Blaise Hamlet
28,University of Bristol Botanic Garden
29,Clevedon Court
30,The Georgian House Museum
