Rank,Attraction
1,Oldenburger Schlossgarten
2,St. Lamberti Church
3,Schloss Oldenburg
4,State Museum of Art and Cultural History
5,Botanischer Garten
6,Oldenburg Rathaus
7,Oldenburgisches Staatstheater
8,Horst Janssen Museum
9,Lappan
10,Landesmuseum Natur und Mensch
11,Pulverturm
12,Peter-Friedrich-Ludwigs Hospital
13,Kulturetage
14,Stadtmuseum Oldenburg
15,Theater Laboratorium
16,Oldenburger Computer-Museum
17,Historischer Landtag mit Dobbenwiese und Kaiserteich
18,House Degode
19,Edith-Russ-Haus für Medienkunst
20,Marschweg-Stadion
21,Touristinformation Oldenburg
22,Schlosshofe
23,Theater hof 19
24,TeamBreakout Oldenburg
25,Olantis Huntebad
26,Escape Room
27,Baldinis
28,Garda Gourmet
29,Schwarzlicht Golf 3D
30,Stand Up Paddler
