Rank,Attraction
1,Middleton Place
2,Broadway at the Beach
3,Hilton Head Island Bike Trails
4,Joe Riley Waterfront Park
5,Coligny Beach
6,Arthur Ravenel Jr. Bridge
7,Falls Park on the Reedy
8,Riverbanks Zoo and Botanical Garden
9,Cherry Grove Beach
10,Lake Murray
11,Fort Sumter National Monument
12,Lake Jocassee
13,Myrtle Beach
14,Alligator Adventure
15,Hunting Island State Park
16,Patriots Point Naval & Maritime Museum
17,Myrtle Beach SkyWheel
18,McLeod Plantation Historic Site
19,Coastal Discovery Museum
20,Brookgreen Gardens
21,Ripley's Aquarium of Myrtle Beach
22,Myrtle Beach State Park
23,Battery & White Point Gardens
24,BMW Zentrum
25,Barefoot Landing
26,Isle of Palms Beach
27,Nathaniel Russell House
28,Botany Bay Plantation Heritage Preserve and Wildlife Management Area
29,Old Town Bluffton
30,Isle of Palms Beach
