Rank,Attraction
1,Schönbrunn  Palace
2,Kunsthistorisches Museum Vienna
3,Historic Center of Vienna
4,Tiergarten Schoenbrunn - Zoo Vienna
5,Albertina
6,The Hofburg
7,Natural History Museum (Naturhistorisches Museum)
8,Belvedere Museum
9,Wiener Staatsoper
10,St. Stephen's Cathedral
11,Leopold Museum
12,Rathaus
13,State Hall of the Austrian National Library
14,Peterskirche
15,Kaiserliche Schatzkammer Wien
16,Stephansplatz
17,MuseumsQuartier Wien
18,Haus des Meeres - Aqua Terra Zoo
19,Heeresgeschichtliches Museum
20,Schonbrunner Gardens
21,Central Cemetery (Zentralfriedhof)
22,Rathausplatz
23,Kunst Haus Wien - Museum Hundertwasser
24,Prater
25,Vienna U-Bahn
26,Technisches Museum Wien
27,Christmas Market on Rathausplatz
28,Kahlenberg
29,Haus der Musik
30,Wiener Royal Orchester
