Rank,Attraction
1,Minnehaha Park
2,Minneapolis Institute of Art
3,Minneapolis Sculpture Garden
4,Target Field
5,Minnehaha Falls
6,Mill City Museum
7,Guthrie Theater
8,Chain of Lakes
9,Lake Harriet
10,American Swedish Institute
11,Minneapolis Skyway System
12,Basilica of St. Mary
13,Bde Maka Ska
14,Lake of the Isles
15,The Museum of Russian Art
16,Foshay Tower
17,The Armory
18,Weisman Art Museum
19,St. Anthony Falls
20,Walker Art Center
21,TCF Bank Stadium
22,Midtown Global Market
23,Lake Harriet Band Shell
24,Grand Rounds Scenic Byway
25,University of Minnesota
26,Mill Ruins Park
27,Loring Park
28,Minneapolis Convention Center
29,Riverview Theater
30,Minneapolis Metro Transit
