Rank,Attraction
1,Svetozar Miletic Square
2,Dunavska Street
3,Strand
4,Fruska Gora Monasteries
5,Danube Park
6,The Name of Mary Church
7,Fruska Gora
8,Petrovaradin Catacombs
9,The Synagogue
10,Saborna crkva-Orthodox Church
11,Dunav (The Danube)
12,Vladicanski Dvor - Bishops Palace
13,Museum of Vojvodina
14,Monument to the Victims of the Raid
15,Petrovaradin Fortress
16,City Museum of Novi Sad
17,Svetozar Miletic Monument
18,Monastery Velika Remeta
19,The Gallery of Matica srpska
20,Big Shopping
21,Monastery Grgeteg
22,Serbian National Theatre in Novi Sad
23,Djura Jaksic Monument
24,Kovilj monastery
25,Albert Einstein and Mileva Maric memorial plate
26,Promenada Novi Sad
27,Spomen-zbirka Pavla Beljanskog
28,The City Library
29,Matica Srpska Library
30,A Girl with the Horn of Plenty Statue
