Rank,Attraction
1,National WWI Museum and Memorial
2,The Nelson-Atkins Museum of Art
3,Arabia Steamboat Museum
4,Union Station
5,Kauffman Stadium
6,Kansas City Zoo
7,Negro Leagues Baseball Museum
8,Country Club Plaza
9,Boulevard Brewing Company
10,Science City at Union Station
11,Tom's Town Distilling Co.
12,The National Museum of Toys and Miniatures
13,Kaleidoscope
14,City Market
15,Arrowhead Stadium
16,Kauffman Center for the Performing Arts
17,Hallmark Visitors Center
18,Starlight Theatre
19,The Money Museum
20,SEA LIFE Kansas City
21,Worlds Of Fun Oceans of Fun
22,KC Fountains
23,Sprint Center
24,The Ewing and Muriel Kauffman Memorial Garden
25,LEGOLAND Discovery Center
26,Kansas City Public Library
27,Loose Park
28,KC Streetcar
29,Westport
30,TWA Museum
