Rank,Attraction
1,Kvint
2,The Suvorov Monument
3,The Tank Monument
4,Noul Neamt Monastery
5,Green Market Center
6,Supreme Soviet
7,House of Soviets
8,Mig-19 Monument
9,Tourist Information Centre in Tiraspol
10,Eternal Flame
11,The Christmas Cathedral
12,Sports Complex Sheriff
13,Monument-Bust to Yuriy Gagarin
14,De Wollant Park
15,Local History Museum
16,Chitcani Bridgehead
17,Presentation of the Child Jesus Church
18,Anton Dendemarchenko
19,Transnistria Tour
20,GoTransnistria
21,Central Post Office
22,Sputnik Tours
23,Moldova and Transnistria Tours
24,Benefit Salon
25,Like Home Hostel Tours
