Rank,Attraction
1,Ascension Cathedral
2,Private Park A. Tolokonnikova
3,Yermak Statue
4,South-Russian State Technical University (NPI) of the M.I. Platov
5,Atamanskiy Palace
6,Novocherkassk Museum of Don Cossacks History
7,Monument Ataman M.I. Platovu
8,Monument to Victims of Novocherkassk Tragedy
9,Alexander Garden
10,Grekov's House Museum
11,Triumphal Archs
12,Baklanov Statue
13,Ataman Platov Monument
14,St. Constantine and Helen Church
15,Memorial Cross
16,Komissarzhevskaya Don Drama and Comedy Theater
17,St. George Church
18,Monument to Reconciliation and Agreement
19,Monument to Francois Sainte de Wollant
20,Sarmatskiy Kurgan Sadovy
21,Airplane MIG-21
22,The Mikhailo-Arkhangelsky Cathedral
23,Monument to Podtelkov and Krivoshlykov
24,Monument Y.A. Gagarin
25,Pushkin Statue
26,Monument to a Cossack
27,Church of St. Grigor Lusavorich
28,Scientific and Technical Library of the South-Russian State Polytechnic University (NPI) named after M.I.Platova
29,Monument to G. Petrova
30,Monument to the Heroes-Polytechnics
